# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct 28 09:15:11 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_orblpererr1: Argument of Periastron Upper Unc. [deg]
# COLUMN pl_orblpererr2: Argument of Periastron Lower Unc. [deg]
# COLUMN pl_orblperlim:  Argument of Periastron Limit Flag
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN pl_trueobliqerr1: True Obliquity Upper Unc. [deg]
# COLUMN pl_trueobliqerr2: True Obliquity Lower Unc. [deg]
# COLUMN pl_trueobliqlim: True Obliquity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
Kepler-114 b,Kepler-114,1,3,Transit,2014,Kepler,0,5.18854900,0.00001200,-0.00001200,0,0.053000,,,0,1.260,0.130,-0.130,0,6.80000,4.30000,-3.60000,0,18.700000,,,0,0.000000,,,0,92.53,2.10,-2.07,0,586,,,0,89.390,,,0,,,,,,,,,M0 V,4605.00,100.00,-100.00,0,0.67,0.04,-0.04,0,0.77,0.02,-0.02,0,0.229,0.015,-0.015,0,-0.685,,,0,4.65,0.15,-0.15,0,2.690,2.310,-1.080,0,3.41328,0.28636,-0.60834,0,,,,,294.1214820,48.3497977,259.5330000,1.3085000,-1.3085000,13.9610000,0.1030000,-0.1030000,11.3660000,0.0220000,-0.0220000,13.7125000,0.0002850,-0.0002850
Kepler-114 c,Kepler-114,1,3,Transit,2013,Kepler,0,8.04100000,,,0,0.064820,0.002350,-0.002350,0,1.600,0.180,-0.180,0,2.80000,0.60000,-0.60000,0,3.760000,,,0,0.000000,,,0,51.62,1.17,-1.15,0,507,,,0,89.360,,,0,,,,,,,,,M0 V,4660.00,56.23,-48.94,0,0.54,0.06,-0.06,0,0.56,0.06,-0.06,0,0.229,0.015,-0.015,0,-0.685,,,0,4.72,0.07,-0.07,0,2.690,2.310,-1.080,0,3.59149,0.55874,-0.53304,0,,,,,294.1214820,48.3497977,259.5330000,1.3085000,-1.3085000,13.9610000,0.1030000,-0.1030000,11.3660000,0.0220000,-0.0220000,13.7125000,0.0002850,-0.0002850
Kepler-114 d,Kepler-114,1,3,Transit,2013,Kepler,0,11.77600000,,,0,0.083580,0.003030,-0.003030,0,2.530,0.280,-0.280,0,3.90000,1.70000,-1.70000,0,1.320000,,,0,0.000000,,,0,31.02,0.70,-0.69,0,446,,,0,88.870,,,0,,,,,,,,,M0 V,4660.00,56.23,-48.94,0,0.54,0.06,-0.06,0,0.56,0.06,-0.06,0,0.229,0.015,-0.015,0,-0.685,,,0,4.72,0.07,-0.07,0,2.690,2.310,-1.080,0,3.39257,1.18778,-0.33360,0,,,,,294.1214820,48.3497977,259.5330000,1.3085000,-1.3085000,13.9610000,0.1030000,-0.1030000,11.3660000,0.0220000,-0.0220000,13.7125000,0.0002850,-0.0002850
Kepler-1140 b,Kepler-1140,1,1,Transit,2016,Kepler,0,24.08627070,0.00010200,-0.00010200,0,0.147800,,,0,2.770,0.450,-0.370,0,8.10000,,,0,2.090000,,,0,0.000000,,,0,13.05,0.55,-0.52,0,500,,,0,89.140,,,0,,,,,,,,,,4850.00,53.07,-47.66,0,0.73,0.03,-0.04,0,0.76,0.04,-0.04,0,-0.080,0.149,-0.180,0,-0.566,,,0,4.61,0.03,-0.04,0,5.010,5.850,-2.850,0,5.29946,13.98769,-4.40164,0,,,,,281.6940529,46.9465210,656.4800000,10.9860000,-10.6360000,15.7510000,0.1140000,-0.1140000,13.2970000,0.0270000,-0.0270000,15.4527000,0.0004110,-0.0004110
Kepler-1141 b,Kepler-1141,1,1,Transit,2016,Kepler,0,2.34451194,0.00000535,-0.00000535,0,0.034500,,,0,0.820,0.120,-0.080,0,0.47700,,,0,4.750000,,,0,0.000000,,,0,1146.95,25.01,-24.52,0,1471,,,0,84.080,,,0,,,,,,,,,,5791.00,58.41,-65.12,0,1.07,0.15,-0.10,0,1.01,0.03,-0.04,0,0.040,0.087,-0.091,0,0.155,0.012,-0.019,0,4.38,0.09,-0.10,0,6.170,1.890,-3.220,0,1.01527,0.25309,-0.18779,0,,,,,290.5436836,47.7259073,393.6420000,3.8090000,-3.7390000,12.4030000,0.0690000,-0.0690000,10.9660000,0.0110000,-0.0110000,12.3348000,0.0001610,-0.0001610
Kepler-1142 b,Kepler-1142,1,1,Transit,2016,Kepler,0,18.30272480,0.00013890,-0.00013890,0,0.134300,,,0,1.470,0.430,-0.180,0,2.76000,,,0,4.770000,,,0,0.000000,,,0,147.82,8.62,-8.07,0,902,,,0,86.370,,,0,,,,,,,,,,5685.00,98.59,-132.10,0,0.96,0.24,-0.08,0,0.97,0.05,-0.06,0,0.020,0.124,-0.171,0,0.437,,,0,4.46,0.07,-0.19,0,5.370,3.920,-3.470,0,0.09668,0.17728,-0.00043,0,,,,,292.7144796,44.0822816,1273.5100000,32.1450000,-32.1450000,14.5050000,0.0690000,-0.0690000,12.6480000,0.0280000,-0.0280000,14.2783000,0.0002590,-0.0002590
Kepler-1143 b,Kepler-1143,1,2,Transit,2016,Kepler,0,2.88890485,0.00000694,-0.00000694,0,0.037100,,,0,1.670,0.130,-0.110,0,3.43000,,,0,4.050000,,,0,0.000000,,,0,173.06,6.86,-6.56,0,976,,,0,85.230,,,0,,,,,,,,,,5053.00,192.88,-130.21,0,0.77,0.05,-0.04,0,0.81,0.05,-0.05,0,-0.060,0.150,-0.171,0,-0.623,,,0,4.58,0.03,-0.05,0,4.790,5.710,-2.880,0,6.48761,1.08981,-2.14213,0,,,,,287.3027720,39.2896399,555.1890000,7.7620000,-7.5550000,15.4930000,0.1600000,-0.1600000,13.0750000,0.0300000,-0.0300000,15.1938000,0.0004390,-0.0004390
Kepler-1143 c,Kepler-1143,1,2,Transit,2016,Kepler,0,210.63059100,0.00145600,-0.00145600,0,0.647700,,,0,3.600,0.510,-0.350,0,12.60000,,,0,1.480000,,,0,0.000000,,,0,0.57,0.02,-0.02,0,234,,,0,89.760,,,0,,,,,,,,,,5053.00,192.88,-130.21,0,0.77,0.05,-0.04,0,0.81,0.05,-0.05,0,-0.060,0.150,-0.171,0,-0.623,,,0,4.58,0.03,-0.05,0,4.790,5.710,-2.880,0,1.62078,1.62846,-0.31943,0,,,,,287.3027720,39.2896399,555.1890000,7.7620000,-7.5550000,15.4930000,0.1600000,-0.1600000,13.0750000,0.0300000,-0.0300000,15.1938000,0.0004390,-0.0004390
Kepler-1144 b,Kepler-1144,1,1,Transit,2016,Kepler,0,17.14647302,0.00009073,-0.00009073,0,0.129100,,,0,1.990,0.300,-0.160,0,4.62000,,,0,3.220000,,,0,0.000000,,,0,62.06,4.00,-3.71,0,811,,,0,86.250,,,0,,,,,,,,,,5753.00,91.93,-86.29,0,0.96,0.14,-0.07,0,0.98,0.05,-0.06,0,-0.030,0.141,-0.178,0,0.056,,,0,4.47,0.06,-0.12,0,3.980,3.670,-2.270,0,2.63554,0.19473,-0.95273,0,,,,,290.0432936,47.2578857,1140.5700000,32.6200000,-30.8800000,14.9430000,0.1030000,-0.1030000,13.4330000,0.0310000,-0.0310000,14.9125000,0.0003510,-0.0003510
Kepler-1145 b,Kepler-1145,1,1,Transit,2016,Kepler,0,3.97076766,0.00001110,-0.00001110,0,0.044300,,,0,1.400,0.110,-0.110,0,2.54000,,,0,5.090000,,,0,0.000000,,,0,198.43,77.80,-60.00,0,958,,,0,86.000,,,0,,,,,,,,,,5064.00,161.02,-117.37,0,0.75,0.05,-0.05,0,0.79,0.05,-0.05,0,-0.130,0.177,-0.193,0,-0.498,,,0,4.59,0.04,-0.05,0,4.790,6.130,-2.990,0,5.25201,1.11078,-1.83362,0,,,,,295.3081524,43.0444026,691.9610000,14.5880000,-14.0070000,15.4710000,0.1500000,-0.1500000,13.3140000,,,15.4499000,0.0004410,-0.0004410
Kepler-1146 b,Kepler-1146,1,1,Transit,2016,Kepler,0,2.35226580,0.00000825,-0.00000825,0,0.032500,,,0,1.230,0.100,-0.080,0,2.04000,,,0,6.020000,,,0,0.000000,,,0,227.96,13.62,-12.74,0,1019,,,0,89.480,,,0,,,,,,,,,,4692.00,45.94,-42.25,0,0.70,0.02,-0.04,0,0.74,0.03,-0.04,0,-0.060,0.143,-0.158,0,-0.642,,,0,4.62,0.03,-0.03,0,4.900,5.870,-2.750,0,3.92223,0.60523,-1.53135,0,,,,,286.7167120,47.4256580,703.0380000,16.7130000,-15.9680000,15.9530000,0.1260000,-0.1260000,13.5180000,0.0380000,-0.0380000,15.8497000,0.0005270,-0.0005270
Kepler-1147 b,Kepler-1147,1,1,Transit,2016,Kepler,0,10.62784997,0.00009118,-0.00009118,0,0.096100,,,0,2.610,0.800,-0.510,0,7.32000,,,0,2.260000,,,0,0.000000,,,0,206.56,23.80,-20.85,0,872,,,0,88.310,,,0,,,,,,,,,,5941.00,84.81,-114.44,0,1.14,0.35,-0.13,0,1.09,0.09,-0.06,0,0.110,0.147,-0.142,0,0.235,,,0,4.36,0.09,-0.20,0,3.800,1.870,-2.040,0,0.68449,0.42410,-0.10150,0,,,,,292.5474753,41.6429221,1657.3600000,79.8450000,-79.8450000,15.6130000,0.1030000,-0.1030000,13.8770000,0.0540000,-0.0540000,15.3564000,0.0003930,-0.0003930
Kepler-1148 b,Kepler-1148,1,1,Transit,2016,Kepler,0,1.10446351,0.00000129,-0.00000129,0,0.018800,,,0,1.690,0.100,-0.090,0,3.50000,,,0,3.980000,,,0,0.000000,,,0,815.41,34.83,-33.25,0,1397,,,0,88.940,,,0,,,,,,,,,,5054.00,99.64,-98.31,0,0.77,0.04,-0.04,0,0.81,0.04,-0.04,0,-0.020,0.146,-0.160,0,-0.531,,,0,4.58,0.03,-0.05,0,4.570,5.830,-2.700,0,8.38181,0.60167,-2.77408,0,,,,,290.9536059,45.7195545,625.6920000,10.6680000,-10.3210000,15.5330000,0.2290000,-0.2290000,13.2010000,0.0270000,-0.0270000,15.2812000,0.0006280,-0.0006280
Kepler-1149 b,Kepler-1149,1,1,Transit,2016,Kepler,0,3.73089898,0.00001502,-0.00001502,0,0.047300,,,0,1.440,0.260,-0.170,0,2.67000,,,0,4.910000,,,0,0.000000,,,0,653.83,56.84,-51.55,0,1128,,,0,81.980,,,0,,,,,,,,,,5833.00,117.20,-177.03,0,1.01,0.18,-0.10,0,1.02,0.07,-0.07,0,0.020,0.149,-0.168,0,0.165,,,0,4.43,0.07,-0.14,0,3.980,2.870,-2.240,0,1.08184,0.51107,-0.17540,0,,,,,294.1891824,45.1515263,1217.7300000,45.6050000,-45.6050000,15.1460000,0.0460000,-0.0460000,13.3010000,0.0380000,-0.0380000,14.9307000,0.0003170,-0.0003170
Kepler-115 b,Kepler-115,1,2,Transit,2014,Kepler,0,2.40367900,0.00001200,-0.00001200,0,0.036000,,,0,1.090,0.210,-0.210,0,1.32000,,,0,5.600000,,,0,0.000000,,,0,1215.76,36.93,-35.80,0,1489,,,0,80.550,,,0,,,,,,,,,,5979.00,132.00,-132.00,0,1.21,0.23,-0.23,0,1.07,0.05,-0.04,0,-0.050,0.015,-0.015,0,0.220,0.024,-0.016,0,4.31,0.15,-0.15,0,5.500,1.500,-1.500,0,0.99436,0.26960,-0.21559,0,,,,,297.7119299,45.2619850,623.6090000,7.0210000,-6.8690000,13.5450000,0.0690000,-0.0690000,11.9700000,0.0190000,-0.0190000,13.3925000,0.0002380,-0.0002380
Kepler-115 c,Kepler-115,1,2,Transit,2014,Kepler,0,8.99088900,0.00002100,-0.00002100,0,0.087000,,,0,2.600,0.500,-0.500,0,7.27000,,,0,2.270000,,,0,0.000000,,,0,209.10,6.35,-6.16,0,960,,,0,85.950,,,0,,,,,,,,,,5979.00,132.00,-132.00,0,1.21,0.23,-0.23,0,1.07,0.05,-0.04,0,-0.050,0.015,-0.015,0,0.220,0.024,-0.016,0,4.31,0.15,-0.15,0,5.500,1.500,-1.500,0,1.13453,0.07285,-0.26712,0,,,,,297.7119299,45.2619850,623.6090000,7.0210000,-6.8690000,13.5450000,0.0690000,-0.0690000,11.9700000,0.0190000,-0.0190000,13.3925000,0.0002380,-0.0002380
Kepler-1150 b,Kepler-1150,2,1,Transit,2016,Kepler,0,2.78786839,0.00000826,-0.00000826,0,0.038200,,,0,1.020,0.060,-0.060,0,1.04000,,,0,5.390000,,,0,0.000000,,,0,153.74,3.60,-3.53,0,1432,,,0,89.160,,,0,,,,,,,,,,4754.00,80.38,-77.33,0,0.72,0.03,-0.03,0,0.76,0.03,-0.04,0,0.010,0.147,-0.162,0,-0.666,,,0,4.61,0.02,-0.03,0,4.680,5.870,-2.720,0,2.35572,0.99634,-0.51773,0,,,,,296.7244553,49.5326846,358.5180000,2.3340000,-2.3040000,14.7480000,0.1370000,-0.1370000,12.1280000,0.0210000,-0.0210000,14.4231000,0.0003270,-0.0003270
Kepler-1151 b,Kepler-1151,1,1,Transit,2016,Kepler,0,65.64784240,0.00040100,-0.00040100,0,0.319700,,,0,2.220,0.240,-0.170,0,5.56000,,,0,2.790000,,,0,0.000000,,,0,4.86,0.24,-0.23,0,485,,,0,88.430,,,0,,,,,,,,,,5470.00,97.19,-93.64,0,0.85,0.08,-0.06,0,0.88,0.05,-0.06,0,-0.110,0.166,-0.187,0,-0.342,,,0,4.53,0.05,-0.09,0,4.370,5.890,-2.710,0,6.66383,0.74542,-2.53868,0,,,,,292.2477819,47.8784257,682.4360000,10.9630000,-10.9630000,15.0050000,0.0800000,-0.0800000,13.1260000,0.0400000,-0.0400000,14.8569000,0.0003190,-0.0003190
Kepler-1152 b,Kepler-1152,1,1,Transit,2016,Kepler,0,1.64680191,0.00000267,-0.00000267,0,0.022300,,,0,0.870,0.050,-0.060,0,0.59000,,,0,4.920000,,,0,0.000000,,,0,139.60,14.12,-12.97,0,806,,,0,89.300,,,0,,,,,,,,,,3964.00,46.47,-45.68,0,0.53,0.03,-0.03,0,0.55,0.04,-0.03,0,-0.250,0.136,-0.108,0,-1.097,0.086,-0.107,0,4.73,0.02,-0.02,0,3.470,5.260,-1.860,0,3.72809,0.20168,-0.20168,0,,,,,290.4341483,44.1077802,215.2330000,0.9025000,-0.9025000,15.3100000,0.0530000,-0.0530000,11.6830000,0.0130000,-0.0130000,14.5976000,0.0003810,-0.0003810
Kepler-1153 b,Kepler-1153,1,1,Transit,2016,Kepler,0,1.75583533,0.00000439,-0.00000439,0,0.027700,,,0,1.730,0.210,-0.110,0,3.64000,,,0,3.860000,,,0,0.000000,,,0,761.81,71.95,-64.68,0,1343,,,0,75.450,,,0,,,,,,,,,,5470.00,75.20,-93.55,0,0.88,0.10,-0.05,0,0.91,0.04,-0.04,0,0.030,0.126,-0.164,0,-0.284,,,0,4.52,0.04,-0.11,0,4.570,6.170,-2.880,0,2.57091,0.26263,-0.89588,0,,,,,289.1471849,45.8661300,1119.4900000,43.6000000,-40.5100000,15.7670000,0.5380000,-0.5380000,14.0290000,0.0540000,-0.0540000,15.7976000,0.0008920,-0.0008920
Kepler-1154 b,Kepler-1154,1,2,Transit,2016,Kepler,0,5.18561420,0.00002676,-0.00002676,0,0.063100,,,0,2.340,1.060,-0.490,0,6.08000,,,0,2.610000,,,0,0.000000,,,0,652.97,47.30,-43.56,0,1314,,,0,89.930,,,0,,,,,,,,,,6327.00,317.30,-262.85,0,1.43,0.65,-0.29,0,1.26,0.25,-0.16,0,0.040,0.140,-0.161,0,0.452,,,0,4.23,0.15,-0.24,0,2.290,1.280,-0.780,0,0.68894,0.04202,-0.23555,0,,,,,297.4771158,39.8772345,1460.1000000,44.7300000,-42.1900000,14.9530000,0.1720000,-0.1720000,13.3480000,0.0370000,-0.0370000,14.7792000,0.0002730,-0.0002730
Kepler-1154 c,Kepler-1154,1,2,Transit,2016,Kepler,0,8.45808312,0.00004757,-0.00004757,0,0.087500,,,0,2.360,0.950,-0.490,0,6.17000,,,0,2.580000,,,0,0.000000,,,0,339.57,24.60,-22.65,0,1117,,,0,87.500,,,0,,,,,,,,,,6327.00,317.30,-262.85,0,1.43,0.65,-0.29,0,1.26,0.25,-0.16,0,0.040,0.140,-0.161,0,0.452,,,0,4.23,0.15,-0.24,0,2.290,1.280,-0.780,0,2.48739,0.32407,-0.98642,0,,,,,297.4771158,39.8772345,1460.1000000,44.7300000,-42.1900000,14.9530000,0.1720000,-0.1720000,13.3480000,0.0370000,-0.0370000,14.7792000,0.0002730,-0.0002730
Kepler-1155 b,Kepler-1155,1,1,Transit,2016,Kepler,0,33.46974300,0.00020030,-0.00020030,0,0.200600,,,0,2.030,0.450,-0.200,0,4.78000,,,0,3.140000,,,0,0.000000,,,0,32.52,27.41,-12.57,0,609,,,0,88.220,,,0,,,,,,,,,,5842.00,115.89,-141.61,0,1.03,0.22,-0.10,0,1.03,0.07,-0.06,0,0.040,0.141,-0.156,0,0.047,,,0,4.43,0.07,-0.16,0,3.720,2.800,-2.050,0,3.21232,0.28679,-1.05695,0,,,,,288.8206058,39.5228712,1128.7200000,,,14.7990000,0.1370000,-0.1370000,13.1840000,0.0320000,-0.0320000,14.7392000,0.0004760,-0.0004760
Kepler-1156 b,Kepler-1156,1,1,Transit,2016,Kepler,0,11.89520511,0.00006499,-0.00006499,0,0.099400,,,0,1.320,0.140,-0.090,0,2.30000,,,0,5.500000,,,0,0.000000,,,0,83.01,2.50,-2.41,0,787,,,0,89.860,,,0,,,,,,,,,,5778.00,67.42,-59.01,0,1.00,0.09,-0.06,0,1.00,0.03,-0.04,0,0.020,0.096,-0.095,0,-0.068,,,0,4.44,0.06,-0.08,0,4.470,3.000,-2.380,0,2.28121,0.47822,-0.57166,0,,,,,288.9240901,46.0575865,691.3310000,7.2930000,-7.1460000,14.2620000,0.1260000,-0.1260000,12.6600000,0.0230000,-0.0230000,14.1258000,0.0002190,-0.0002190
Kepler-1157 b,Kepler-1157,1,1,Transit,2016,Kepler,0,4.45743164,0.00001699,-0.00001699,0,0.044800,,,0,1.090,0.040,-0.200,0,1.32000,,,0,5.600000,,,0,0.000000,,,0,95.44,2.45,-2.39,0,732,,,0,89.310,,,0,,,,,,,,,,4679.00,54.66,-58.05,0,0.71,0.03,-0.03,0,0.76,0.03,-0.04,0,0.050,0.147,-0.177,0,-0.675,,,0,4.62,0.01,-0.03,0,3.390,6.100,-1.760,0,2.97604,0.53772,-1.03114,0,,,,,283.1209268,43.5255701,342.1440000,2.4160000,-2.3830000,14.6030000,0.2400000,-0.2400000,12.0150000,0.0230000,-0.0230000,14.3769000,0.0003030,-0.0003030
Kepler-1158 b,Kepler-1158,1,1,Transit,2016,Kepler,0,13.53962930,0.00009329,-0.00009329,0,0.124600,,,0,2.340,0.460,-0.460,0,6.08000,,,0,2.610000,,,0,0.000000,,,0,449.70,24.89,-23.38,0,1079,,,0,89.460,,,0,,,,,,,,,,6203.00,91.16,-81.11,0,1.95,0.37,-0.38,0,1.41,0.13,-0.13,0,0.180,0.096,-0.100,0,0.840,,,0,4.01,0.15,-0.12,0,2.880,0.550,-0.550,0,1.29966,0.32320,-0.35182,0,,,,,292.2339048,41.5751832,1484.2500000,36.9350000,-36.9350000,13.6180000,0.1030000,-0.1030000,12.2710000,0.0230000,-0.0230000,13.5744000,0.0001960,-0.0001960
Kepler-1159 b,Kepler-1159,1,1,Transit,2016,Kepler,0,22.70816791,0.00009541,-0.00009541,0,0.160300,,,0,2.370,1.030,-0.370,0,6.21000,,,0,2.560000,,,0,0.000000,,,0,80.98,4.54,-4.26,0,677,,,0,89.960,,,0,,,,,,,,,,6217.00,147.74,-196.66,0,1.28,0.56,-0.20,0,1.19,0.17,-0.11,0,0.040,0.139,-0.148,0,0.298,,,0,4.30,0.11,-0.25,0,2.750,1.080,-1.070,0,4.66661,0.21699,-1.78124,0,,,,,294.2663250,45.2042317,1213.7100000,28.2200000,-28.2200000,14.6780000,0.0690000,-0.0690000,13.1560000,0.0300000,-0.0300000,14.5451000,0.0002730,-0.0002730
